Subject,Website,International,Ease
1,Expedia,1,4
2,Orbitz,1,3
3,Priceline,1,5
4,Expedia,0,1
5,Orbitz,0,7
6,Priceline,0,2
7,Expedia,1,6
8,Orbitz,1,7
9,Priceline,1,4
10,Expedia,0,1
11,Orbitz,0,7
12,Priceline,0,7
13,Expedia,1,4
14,Orbitz,1,4
15,Priceline,1,2
16,Expedia,0,2
17,Orbitz,0,3
18,Priceline,0,6
19,Expedia,1,6
20,Orbitz,1,6
21,Priceline,1,1
22,Expedia,0,3
23,Orbitz,0,6
24,Priceline,0,5
25,Expedia,1,5
26,Orbitz,1,5
27,Priceline,1,4
28,Expedia,0,3
29,Orbitz,0,5
30,Priceline,0,1
31,Expedia,1,2
32,Orbitz,1,4
33,Priceline,1,6
34,Expedia,0,4
35,Orbitz,0,7
36,Priceline,0,4
37,Expedia,1,4
38,Orbitz,1,3
39,Priceline,1,2
40,Expedia,0,6
41,Orbitz,0,5
42,Priceline,0,7
43,Expedia,1,2
44,Orbitz,1,1
45,Priceline,1,3
46,Expedia,0,2
47,Orbitz,0,5
48,Priceline,0,3
49,Expedia,1,6
50,Orbitz,1,4
51,Priceline,1,3
52,Expedia,0,6
53,Orbitz,0,4
54,Priceline,0,3
55,Expedia,1,6
56,Orbitz,1,3
57,Priceline,1,1
58,Expedia,0,3
59,Orbitz,0,5
60,Priceline,0,5
61,Expedia,1,6
62,Orbitz,1,1
63,Priceline,1,1
64,Expedia,0,2
65,Orbitz,0,3
66,Priceline,0,3
67,Expedia,1,2
68,Orbitz,1,3
69,Priceline,1,5
70,Expedia,0,4
71,Orbitz,0,7
72,Priceline,0,7
73,Expedia,1,5
74,Orbitz,1,2
75,Priceline,1,5
76,Expedia,0,1
77,Orbitz,0,7
78,Priceline,0,2
79,Expedia,1,4
80,Orbitz,1,4
81,Priceline,1,6
82,Expedia,0,1
83,Orbitz,0,3
84,Priceline,0,4
85,Expedia,1,2
86,Orbitz,1,3
87,Priceline,1,3
88,Expedia,0,2
89,Orbitz,0,5
90,Priceline,0,3
91,Expedia,1,2
92,Orbitz,1,6
93,Priceline,1,3
94,Expedia,0,4
95,Orbitz,0,6
96,Priceline,0,3
97,Expedia,1,7
98,Orbitz,1,4
99,Priceline,1,1
100,Expedia,0,1
101,Orbitz,0,4
102,Priceline,0,7
103,Expedia,1,6
104,Orbitz,1,3
105,Priceline,1,1
106,Expedia,0,4
107,Orbitz,0,2
108,Priceline,0,3
109,Expedia,1,3
110,Orbitz,1,5
111,Priceline,1,7
112,Expedia,0,2
113,Orbitz,0,6
114,Priceline,0,5
115,Expedia,1,3
116,Orbitz,1,3
117,Priceline,1,5
118,Expedia,0,2
119,Orbitz,0,1
120,Priceline,0,4
121,Expedia,1,4
122,Orbitz,1,1
123,Priceline,1,5
124,Expedia,0,1
125,Orbitz,0,4
126,Priceline,0,5
127,Expedia,1,5
128,Orbitz,1,1
129,Priceline,1,6
130,Expedia,0,4
131,Orbitz,0,6
132,Priceline,0,1
133,Expedia,1,3
134,Orbitz,1,1
135,Priceline,1,4
136,Expedia,0,1
137,Orbitz,0,7
138,Priceline,0,3
139,Expedia,1,3
140,Orbitz,1,6
141,Priceline,1,6
142,Expedia,0,4
143,Orbitz,0,5
144,Priceline,0,3
145,Expedia,1,7
146,Orbitz,1,1
147,Priceline,1,7
148,Expedia,0,4
149,Orbitz,0,2
150,Priceline,0,1
151,Expedia,1,6
152,Orbitz,1,1
153,Priceline,1,6
154,Expedia,0,3
155,Orbitz,0,4
156,Priceline,0,5
