Subject,Tool,Time
1,Illustrator,200.0900679
2,InDesign,149.92753532
3,Illustrator,321.23383936
4,InDesign,184.01489392
5,Illustrator,242.21799047
6,InDesign,210.98411422
7,Illustrator,248.03293561
8,InDesign,171.35221531
9,Illustrator,336.53098894
10,InDesign,98.191704297
11,Illustrator,360.26689152
12,InDesign,125.68862514
13,Illustrator,404.07949704
14,InDesign,137.22083364
15,Illustrator,288.45198851
16,InDesign,138.77312209
17,Illustrator,198.49896235
18,InDesign,177.06673265
19,Illustrator,336.87353158
20,InDesign,147.24013277
21,Illustrator,455.04081714
22,InDesign,230.46021827
23,Illustrator,328.98290335
24,InDesign,126.93949563
25,Illustrator,613.15977877
26,InDesign,170.48764403
27,Illustrator,367.16284362
28,InDesign,145.16753537
29,Illustrator,592.44002441
30,InDesign,126.59477454
31,Illustrator,421.86922663
32,InDesign,154.18235689
33,Illustrator,323.68883769
34,InDesign,128.46481288
35,Illustrator,437.23726047
36,InDesign,228.76502885
37,Illustrator,428.20305248
38,InDesign,196.54271784
39,Illustrator,440.38470438
40,InDesign,125.87395892
41,Illustrator,515.63758764
42,InDesign,147.58692155
43,Illustrator,220.87591954
44,InDesign,124.31170608
45,Illustrator,395.23555802
46,InDesign,142.32267596
47,Illustrator,768.35164045
48,InDesign,168.3664304
49,Illustrator,926.15226089
50,InDesign,128.293568
51,Illustrator,490.73975339
52,InDesign,176.36757995
53,Illustrator,544.65418999
54,InDesign,104.95484774
55,Illustrator,217.66614426
56,InDesign,179.57643514
57,Illustrator,169.80261222
58,InDesign,186.10468241
59,Illustrator,240.6688819
60,InDesign,158.68238984
