Subject,IDE,Time
1,VStudio,341
2,VStudio,291
3,VStudio,283
4,VStudio,155
5,VStudio,271
6,VStudio,270
7,VStudio,250
8,VStudio,272
9,VStudio,209
10,VStudio,236
11,VStudio,295
12,VStudio,214
13,VStudio,443
14,VStudio,632
15,VStudio,310
16,VStudio,334
17,VStudio,376
18,VStudio,305
19,VStudio,216
20,VStudio,339
21,Eclipse,806
22,Eclipse,415
23,Eclipse,389
24,Eclipse,317
25,Eclipse,283
26,Eclipse,865
27,Eclipse,298
28,Eclipse,952
29,Eclipse,443
30,Eclipse,379
31,Eclipse,562
32,Eclipse,362
33,Eclipse,275
34,Eclipse,398
35,Eclipse,706
36,Eclipse,496
37,Eclipse,656
38,Eclipse,285
39,Eclipse,232
40,Eclipse,244
41,PyCharm,277
42,PyCharm,295
43,PyCharm,293
44,PyCharm,184
45,PyCharm,218
46,PyCharm,240
47,PyCharm,174
48,PyCharm,303
49,PyCharm,284
50,PyCharm,299
51,PyCharm,431
52,PyCharm,202
53,PyCharm,143
54,PyCharm,282
55,PyCharm,276
56,PyCharm,245
57,PyCharm,572
58,PyCharm,237
59,PyCharm,497
60,PyCharm,377
