Subject,Site,Pages
1,B,2
2,B,6
3,A,5
4,B,7
5,A,3
6,B,2
7,B,6
8,A,1
9,A,3
10,A,4
11,B,6
12,B,6
13,B,4
14,A,5
15,A,3
16,A,6
17,B,6
18,B,3
19,A,4
20,B,7
21,A,3
22,A,5
23,B,1
24,B,2
25,B,3
26,B,5
27,A,4
28,A,4
29,B,5
30,B,6
31,B,5
32,A,4
33,A,3
34,B,1
35,B,3
36,B,4
37,B,9
38,A,5
39,B,6
40,A,4
41,B,5
42,A,4
43,A,1
44,A,3
45,A,3
46,A,3
47,A,5
48,A,2
49,A,1
50,B,3
51,B,6
52,B,5
53,B,6
54,B,7
55,A,4
56,A,5
57,B,4
58,B,5
59,A,3
60,B,3
61,B,1
62,A,4
63,B,4
64,A,4
65,B,5
66,B,5
67,A,4
68,A,3
69,A,3
70,A,3
71,A,2
72,A,3
73,B,7
74,B,8
75,B,4
76,B,8
77,A,3
78,A,3
79,A,3
80,B,6
81,B,5
82,A,3
83,B,3
84,B,7
85,A,2
86,A,4
87,A,3
88,A,3
89,B,3
90,A,2
91,B,4
92,B,1
93,B,3
94,B,4
95,A,3
96,A,2
97,A,2
98,A,4
99,B,5
100,B,2
101,B,2
102,A,3
103,B,6
104,B,7
105,B,6
106,B,4
107,A,3
108,A,3
109,A,3
110,A,3
111,B,7
112,B,4
113,B,1
114,A,3
115,B,2
116,B,2
117,A,5
118,B,3
119,B,5
120,B,8
121,B,8
122,A,3
123,B,1
124,B,5
125,A,3
126,A,3
127,A,4
128,A,6
129,B,5
130,A,4
131,B,3
132,B,3
133,A,2
134,B,6
135,B,3
136,B,6
137,A,3
138,A,2
139,A,6
140,A,4
141,A,4
142,A,3
143,B,5
144,A,3
145,B,3
146,A,2
147,B,3
148,A,3
149,B,4
150,B,3
151,B,3
152,A,2
153,A,4
154,B,3
155,B,4
156,A,5
157,B,3
158,A,3
159,B,3
160,B,3
161,B,9
162,A,4
163,B,1
164,A,2
165,A,4
166,B,3
167,A,3
168,A,4
169,A,3
170,B,3
171,B,3
172,B,8
173,B,7
174,B,7
175,A,3
176,A,4
177,A,5
178,B,5
179,A,3
180,A,5
181,A,4
182,B,5
183,A,2
184,A,3
185,A,5
186,A,5
187,B,2
188,B,6
189,A,3
190,B,3
191,A,3
192,B,2
193,A,3
194,A,2
195,A,3
196,A,3
197,B,6
198,A,5
199,A,4
200,B,3
201,A,3
202,A,3
203,B,5
204,A,5
205,A,1
206,A,4
207,A,4
208,A,3
209,A,4
210,A,4
211,A,4
212,A,2
213,A,4
214,B,7
215,A,5
216,B,9
217,A,3
218,A,4
219,B,5
220,B,3
221,A,3
222,B,3
223,B,8
224,A,3
225,A,3
226,A,3
227,A,3
228,A,2
229,B,6
230,A,4
231,B,7
232,B,4
233,B,6
234,B,3
235,B,1
236,A,3
237,A,2
238,A,4
239,A,5
240,B,5
241,B,10
242,A,3
243,A,3
244,B,2
245,A,3
246,B,3
247,B,2
248,B,5
249,B,5
250,B,4
251,B,4
252,A,3
253,B,2
254,A,4
255,A,3
256,A,3
257,B,7
258,B,7
259,B,2
260,B,1
261,A,3
262,A,4
263,A,3
264,B,2
265,B,1
266,B,5
267,A,3
268,B,3
269,B,2
270,B,7
271,A,4
272,A,4
273,B,6
274,A,3
275,B,5
276,A,4
277,B,6
278,B,1
279,A,2
280,A,4
281,A,3
282,B,1
283,B,5
284,A,5
285,B,3
286,A,3
287,A,5
288,B,6
289,A,4
290,A,5
291,B,7
292,A,3
293,B,1
294,B,2
295,A,3
296,B,4
297,B,5
298,A,3
299,A,4
300,B,5
301,B,9
302,B,7
303,A,5
304,B,3
305,A,2
306,B,2
307,A,4
308,B,2
309,B,4
310,A,4
311,B,2
312,B,4
313,A,3
314,B,7
315,A,4
316,A,4
317,B,2
318,A,2
319,B,1
320,B,2
321,B,4
322,B,5
323,B,6
324,B,6
325,A,3
326,A,2
327,A,4
328,B,4
329,A,4
330,A,3
331,B,7
332,A,5
333,B,5
334,B,4
335,A,3
336,B,5
337,B,7
338,B,2
339,B,6
340,A,3
341,B,8
342,A,2
343,A,4
344,B,3
345,A,3
346,B,7
347,B,5
348,A,5
349,A,5
350,B,4
351,B,3
352,B,6
353,A,4
354,A,2
355,A,1
356,A,2
357,A,6
358,B,8
359,B,8
360,B,3
361,A,3
362,A,4
363,B,2
364,A,2
365,A,4
366,B,6
367,B,2
368,A,1
369,A,4
370,B,4
371,B,7
372,B,4
373,B,7
374,B,1
375,A,4
376,A,5
377,A,3
378,B,2
379,B,1
380,A,2
381,B,4
382,B,4
383,A,6
384,A,3
385,A,5
386,B,6
387,A,3
388,B,4
389,B,5
390,A,3
391,A,2
392,B,3
393,B,5
394,A,4
395,B,6
396,B,8
397,A,4
398,B,6
399,B,6
400,B,5
401,B,1
402,B,5
403,A,3
404,B,4
405,B,5
406,A,4
407,A,5
408,A,4
409,B,2
410,B,5
411,A,3
412,B,4
413,B,5
414,A,3
415,B,3
416,A,3
417,A,3
418,A,2
419,A,4
420,B,5
421,B,6
422,B,4
423,A,4
424,A,2
425,B,7
426,A,3
427,A,4
428,B,2
429,B,3
430,A,1
431,B,1
432,A,3
433,B,5
434,B,7
435,A,3
436,B,3
437,B,4
438,B,5
439,A,3
440,B,5
441,A,1
442,A,3
443,B,6
444,B,10
445,A,4
446,B,1
447,A,4
448,A,3
449,A,3
450,B,6
451,A,2
452,A,3
453,A,4
454,A,3
455,A,5
456,A,4
457,B,2
458,A,3
459,B,6
460,A,5
461,B,4
462,B,3
463,B,3
464,A,2
465,B,3
466,B,6
467,B,11
468,B,1
469,B,3
470,B,5
471,A,4
472,B,6
473,A,3
474,B,7
475,B,4
476,B,7
477,B,2
478,B,9
479,A,6
480,A,2
481,A,4
482,B,9
483,A,4
484,B,2
485,B,3
486,A,3
487,B,4
488,A,4
489,A,5
490,B,6
491,A,4
492,A,3
493,A,3
494,B,4
495,A,3
496,B,6
497,B,6
498,A,3
