Subject,Technique,Order,Time,Errors,Effort
1,Search,1,98,4,5
1,Scroll,2,152,0,6
2,Search,2,57,2,2
2,Scroll,1,148,0,3
3,Search,1,86,3,2
3,Scroll,2,160,0,4
4,Search,2,65,2,2
4,Scroll,1,113,0,5
5,Search,1,102,1,4
5,Scroll,2,181,1,3
6,Search,2,126,2,4
6,Scroll,1,70,1,1
7,Search,1,50,2,3
7,Scroll,2,161,1,6
8,Search,2,75,3,5
8,Scroll,1,192,0,4
9,Search,1,102,3,3
9,Scroll,2,149,2,6
10,Search,2,87,4,5
10,Scroll,1,127,0,6
11,Search,1,92,3,4
11,Scroll,2,161,1,3
12,Search,2,101,4,4
12,Scroll,1,93,0,4
13,Search,1,96,2,3
13,Scroll,2,161,0,6
14,Search,2,103,2,5
14,Scroll,1,135,1,6
15,Search,1,104,4,5
15,Scroll,2,158,2,4
16,Search,2,147,3,4
16,Scroll,1,131,0,7
17,Search,1,112,1,3
17,Scroll,2,110,0,6
18,Search,2,119,1,4
18,Scroll,1,161,2,2
19,Search,1,95,3,4
19,Scroll,2,132,2,4
20,Search,2,119,1,1
20,Scroll,1,49,1,2
1,Voice,3,86,5,5
2,Voice,3,65,5,3
3,Voice,3,87,3,4
4,Voice,3,75,2,3
5,Voice,3,67,3,3
6,Voice,3,96,3,4
7,Voice,3,86,7,6
8,Voice,3,86,3,5
9,Voice,3,88,7,6
10,Voice,3,86,4,5
11,Voice,3,104,7,3
12,Voice,3,88,9,6
13,Voice,3,105,4,6
14,Voice,3,68,6,5
15,Voice,3,92,8,5
16,Voice,3,82,4,6
17,Voice,3,91,4,1
18,Voice,3,87,5,4
19,Voice,3,86,6,4
20,Voice,3,64,6,5
