Subject,Site,Time
1,A,331
2,B,419
3,A,247
4,B,461
5,A,277
6,B,300
7,A,317
8,B,387
9,A,450
10,B,301
11,A,268
12,B,392
13,A,276
14,B,388
15,A,444
16,B,463
17,A,361
18,B,380
19,A,389
20,B,302
21,A,291
22,B,312
23,A,456
24,B,363
25,A,262
26,B,355
27,A,472
28,B,407
29,A,274
30,B,319
31,A,278
32,B,350
33,A,418
34,B,265
35,A,331
36,B,331
37,A,365
38,B,313
39,A,471
40,B,289
41,A,342
42,B,297
43,A,287
44,B,271
45,A,420
46,B,250
47,A,463
48,B,465
49,A,416
50,B,274
51,A,316
52,B,242
53,A,380
54,B,347
55,A,412
56,B,344
57,A,374
58,B,235
59,A,457
60,B,317
61,A,436
62,B,430
63,A,359
64,B,392
65,A,289
66,B,286
67,A,304
68,B,336
69,A,289
70,B,385
71,A,419
72,B,325
73,A,358
74,B,278
75,A,433
76,B,398
77,A,416
78,B,359
79,A,312
80,B,371
81,A,327
82,B,304
83,A,411
84,B,295
85,A,371
86,B,412
87,A,321
88,B,386
89,A,419
90,B,369
91,A,352
92,B,296
93,A,336
94,B,309
95,A,435
96,B,241
97,A,293
98,B,460
99,A,330
100,B,361
101,A,242
102,B,344
103,A,252
104,B,387
105,A,337
106,B,247
107,A,383
108,B,306
109,A,279
110,B,289
111,A,391
112,B,337
113,A,311
114,B,373
115,A,449
116,B,346
117,A,382
118,B,329
119,A,356
120,B,279
121,A,446
122,B,394
123,A,479
124,B,442
125,A,241
126,B,234
127,A,407
128,B,270
129,A,366
130,B,412
131,A,342
132,B,324
133,A,325
134,B,466
135,A,465
136,B,443
137,A,433
138,B,403
139,A,298
140,B,470
141,A,275
142,B,312
143,A,448
144,B,363
145,A,448
146,B,326
147,A,423
148,B,370
149,A,471
150,B,375
151,A,256
152,B,436
153,A,424
154,B,387
155,A,340
156,B,239
157,A,316
158,B,239
159,A,342
160,B,330
161,A,463
162,B,327
163,A,386
164,B,329
165,A,427
166,B,290
167,A,444
168,B,460
169,A,288
170,B,230
171,A,359
172,B,317
173,A,417
174,B,277
175,A,409
176,B,399
177,A,313
178,B,307
179,A,267
180,B,337
181,A,311
182,B,429
183,A,286
184,B,275
185,A,432
186,B,329
187,A,348
188,B,278
189,A,265
190,B,404
191,A,458
192,B,452
193,A,260
194,B,315
195,A,279
196,B,335
197,A,385
198,B,243
199,A,335
200,B,438
201,A,466
202,B,322
203,A,338
204,B,414
205,A,292
206,B,234
207,A,324
208,B,417
209,A,396
210,B,325
211,A,307
212,B,299
213,A,273
214,B,378
215,A,280
216,B,244
217,A,287
218,B,248
219,A,435
220,B,422
221,A,324
222,B,356
223,A,471
224,B,427
225,A,416
226,B,353
227,A,338
228,B,431
229,A,321
230,B,369
231,A,259
232,B,254
233,A,401
234,B,415
235,A,478
236,B,233
237,A,283
238,B,300
239,A,362
240,B,416
241,A,299
242,B,254
243,A,413
244,B,443
245,A,316
246,B,425
247,A,297
248,B,453
249,A,480
250,B,311
251,A,333
252,B,294
253,A,252
254,B,339
255,A,430
256,B,262
257,A,255
258,B,324
259,A,276
260,B,383
261,A,331
262,B,240
263,A,316
264,B,419
265,A,349
266,B,438
267,A,424
268,B,370
269,A,434
270,B,407
271,A,453
272,B,280
273,A,293
274,B,355
275,A,434
276,B,294
277,A,246
278,B,440
279,A,386
280,B,347
281,A,470
282,B,328
283,A,402
284,B,290
285,A,359
286,B,282
287,A,335
288,B,361
289,A,393
290,B,234
