Subject,Engine,Order,Searches,Effort
1,Google,1,192,3
1,Bing,2,158,5
1,Yahoo,3,92,4
2,Google,1,93,1
2,Bing,3,151,2
2,Yahoo,2,144,7
3,Google,2,132,4
3,Bing,1,193,2
3,Yahoo,3,119,3
4,Google,2,141,3
4,Bing,3,169,2
4,Yahoo,1,136,6
5,Google,3,133,3
5,Bing,1,180,1
5,Yahoo,2,163,5
6,Google,3,121,6
6,Bing,2,160,3
6,Yahoo,1,180,7
7,Google,1,183,5
7,Bing,2,159,3
7,Yahoo,3,232,4
8,Google,1,139,3
8,Bing,3,163,2
8,Yahoo,2,216,6
9,Google,2,170,4
9,Bing,1,104,6
9,Yahoo,3,131,5
10,Google,2,123,5
10,Bing,3,157,6
10,Yahoo,1,179,7
11,Google,3,171,3
11,Bing,1,118,2
11,Yahoo,2,232,6
12,Google,3,137,4
12,Bing,2,202,5
12,Yahoo,1,141,6
13,Google,1,131,5
13,Bing,2,214,3
13,Yahoo,3,162,3
14,Google,1,196,3
14,Bing,3,128,3
14,Yahoo,2,152,3
15,Google,2,146,6
15,Bing,1,159,4
15,Yahoo,3,170,3
16,Google,2,182,1
16,Bing,3,204,6
16,Yahoo,1,229,7
17,Google,3,144,7
17,Bing,1,196,4
17,Yahoo,2,127,5
18,Google,3,144,1
18,Bing,2,120,7
18,Yahoo,1,187,5
19,Google,1,153,1
19,Bing,2,173,4
19,Yahoo,3,184,4
20,Google,1,163,3
20,Bing,3,165,4
20,Yahoo,2,225,5
21,Google,2,164,6
21,Bing,1,110,5
21,Yahoo,3,169,7
22,Google,2,170,2
22,Bing,3,127,4
22,Yahoo,1,214,4
23,Google,3,150,7
23,Bing,1,173,6
23,Yahoo,2,236,5
24,Google,3,163,4
24,Bing,2,164,5
24,Yahoo,1,179,4
25,Google,1,160,5
25,Bing,2,139,3
25,Yahoo,3,192,6
26,Google,1,152,2
26,Bing,3,181,3
26,Yahoo,2,160,6
27,Google,2,118,6
27,Bing,1,109,4
27,Yahoo,3,168,6
28,Google,2,200,7
28,Bing,3,136,2
28,Yahoo,1,140,3
29,Google,3,157,5
29,Bing,1,195,4
29,Yahoo,2,182,5
30,Google,3,152,1
30,Bing,2,188,7
30,Yahoo,1,131,3
